Town
-1	-1	80	0
0
20	12
e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	
e006	0	0	0	0	0	6003	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	600A	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	1006804	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	0	
e006	0	0	0	0	0	0	0	0	0	0	0	
e006	0	0	0	0	0	0	0	0	0	0	0	
e006	0	0	0	0	0	0	0	0	0	0	0	
e006	0	0	0	0	0	0	0	0	6003	0	e006	
e006	0	600A	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	600A	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	600A	0	0	0	0	0	600A	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	e006	
e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	
